Especialidade,Identidade de Gênero,Média de Doenças,Desvio Padrão,N (Atendimentos)
Cirurgia Geral,Homem Cis,0.4628099173553719,0.7002231098390641,242
Cirurgia Geral,Mulher Cis,1.1666666666666667,1.0298573010888745,12
Endocrinologia,Homem Cis,1.1538461538461537,1.0681880176381127,13
Endocrinologia,Mulher Cis,1.0,0.816496580927726,4
Endocrinologia,Mulher Trans,1.0,0.7071067811865476,5
Infectologia,Homem Cis,1.3440860215053763,1.1467783195801182,93
Infectologia,Mulher Cis,2.0,1.1952286093343936,8
Infectologia,Mulher Trans,2.0,1.0,5
Oftalmologia,Homem Cis,0.6921529175050302,0.8446933452660996,497
Oftalmologia,Homem Trans,1.0,,1
Oftalmologia,Mulher Cis,0.86,0.7561988724494884,50
Oftalmologia,Mulher Trans,1.0,,1
Ortopedia,Homem Cis,0.468013468013468,0.7487515012531265,297
Ortopedia,Mulher Cis,1.2857142857142858,1.1387288073563857,14
Ortopedia,Mulher Trans,0.0,0.0,3
Psiquiatria,Homem Cis,0.453125,0.6623672055292517,128
Psiquiatria,Mulher Cis,0.6666666666666666,0.5773502691896258,3
Psiquiatria,Mulher Trans,0.0,,1
