Especialidade Destino,Total de Guias da Especialidade,Motivo CIAP-2,Frequência Absoluta (N),Proporção do Gargalo (%)
Oftalmologia,671,F05-OUTRAS PERTURBAÇÕES VISUAIS,65,9.69
Oftalmologia,671,F99-OUTRA DOENÇAS OCULARES/ANEXOS,42,6.26
Oftalmologia,671,K86-HIPERTENSÃO SEM COMPLICAÇÕES,31,4.62
Oftalmologia,671,F91-ERRO DE REFRAÇÃO,25,3.73
Oftalmologia,671,T90-DIABETES NÃO INSULINO-DEPENDENTE,24,3.58
Ortopedia,379,L76-OUTRAS FRATURAS,26,6.86
Ortopedia,379,L14-SINAIS/SINTOMAS DA COXA/PERNA,21,5.54
Ortopedia,379,L73-FRATURA: TÍBIA/PERÔNIO/ FÍBULA,16,4.22
Ortopedia,379,L09-SINAIS/SINTOMAS DOS BRAÇOS,16,4.22
Ortopedia,379,A82-EFEITO SECUNDÁRIO DE LESÃO TRAUMÁTICA,15,3.96
Cirurgia geral,328,D89-HÉRNIA INGUINAL,75,22.87
Cirurgia geral,328,"D91-HÉRNIA ABDOMINAL, OUTRAS",32,9.76
Cirurgia geral,328,S85-CISTO PILONIDAL/FISTULA,10,3.05
Cirurgia geral,328,S10-FURÚNCULO/CARBÚNCULO,6,1.83
Cirurgia geral,328,P19-ABUSO DE DROGAS,5,1.52
Psiquiatria,166,P99-OUTRAS PERTURBAÇÕES PSICOLÓGICAS,19,11.45
Psiquiatria,166,P98-OUTRAS PSICOSES NE,13,7.83
Psiquiatria,166,P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,12,7.23
Psiquiatria,166,P72-ESQUIZOFRENIA,10,6.02
Psiquiatria,166,P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE,9,5.42
Dermatologia,163,S99-OUTRAS DOENÇAS DA PELE,15,9.2
Dermatologia,163,S93-CISTO SEBÁCEO,7,4.29
Dermatologia,163,S91-PSORÍASE,7,4.29
Dermatologia,163,S02-PRURIDO,6,3.68
Dermatologia,163,S74-DERMATOFITOSE,6,3.68
