Motivo CIAP-2,Pacientes Únicos (N),Proporção (%)
F05-OUTRAS PERTURBAÇÕES VISUAIS,65,9.8
F99-OUTRA DOENÇAS OCULARES/ANEXOS,41,6.18
K86-HIPERTENSÃO SEM COMPLICAÇÕES,32,4.83
F91-ERRO DE REFRAÇÃO,25,3.77
T90-DIABETES NÃO INSULINO-DEPENDENTE,24,3.62
N01-CEFALÉIA,22,3.32
T89-DIABETES INSULINO-DEPENDENTE,19,2.87
F01-DOR NO OLHO,13,1.96
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,12,1.81
P06-PERTURBAÇÃO DO SONO,11,1.66
F92-CATARATA,10,1.51
F29-OUTROS SINAIS/SINTOMAS OCULARES,10,1.51
F93-GLAUCOMA,9,1.36
 -31-EXAME MÉDICO/AVALIAÇÃO DE SAÚDE - PARCIAL,9,1.36
 -60-RESULTADOS DE ANÁLISES/PROCEDIMENTOS,8,1.21
"D02-DORES ABDOMINAIS, EPIGÁSTRICAS",8,1.21
R96-ASMA,8,1.21
L03-SINAIS/SINTOMAS DA REGIÃO LOMBAR,7,1.06
F94-CEGUEIRA,6,0.9
F13-SENSAÇÕES OCULARES ANORMAIS,5,0.75
S02-PRURIDO,5,0.75
D89-HÉRNIA INGUINAL,4,0.6
R05-TOSSE,4,0.6
F17-SINAIS/SINTOMAS RELACIONADOS A ÓCULOS,4,0.6
Y70-SÍFILIS MASCULINA,4,0.6
H02-PROBLEMAS DE AUDIÇÃO,4,0.6
A98-MEDICINA PREVENTIVA/MANUTENÇÃO DA SAÚDE,4,0.6
P19-ABUSO DE DROGAS,4,0.6
F16-SINAIS/SINTOMAS DAS PÁLPEBRAS,3,0.45
Z25-ATO OU ACONTECIMENTO VIOLENTO,3,0.45
K85-PRESSÃO ARTERIAL ELEVADA,3,0.45
K87-HIPERTENSÃO COM COMPLICAÇÕES,3,0.45
D72-HEPATITE VIRAL,3,0.45
T86-HIPOTIROIDISMO/MIXEDEMA,3,0.45
F03-SECREÇÃO OCULAR,3,0.45
H01-DOR DE OUVIDOS,3,0.45
 -30-EXAME MÉDICO/AVALIAÇÃO DE SAÚDE - COMPLETO,3,0.45
F02-OLHO VERMELHO,3,0.45
"P29-SINAIS/SINTOMAS PSICOLÓGICOS, OUTROS",3,0.45
F79-OUTRAS LESÕES TRAUMÁTICAS OCULARES,3,0.45
D19-SINAIS/SINTOMAS DOS DENTES/GENGIVAS,3,0.45
A29-OUTROS SINAIS/SINTOMAS GERAIS,3,0.45
D11-DIARREIA,3,0.45
