Motivo CIAP-2,Pacientes Únicos (N),Proporção (%)
L76-OUTRAS FRATURAS,26,6.95
L14-SINAIS/SINTOMAS DA COXA/PERNA,21,5.61
L09-SINAIS/SINTOMAS DOS BRAÇOS,16,4.28
L73-FRATURA: TÍBIA/PERÔNIO/ FÍBULA,15,4.01
A82-EFEITO SECUNDÁRIO DE LESÃO TRAUMÁTICA,15,4.01
L15-SINAIS/SINTOMAS DO JOELHO,14,3.74
L03-SINAIS/SINTOMAS DA REGIÃO LOMBAR,13,3.48
L70-INFECÇÕES DO APARELHO MÚSCULO-ESQUELÉTICO,10,2.67
L74-FRATURA: OSSO DA MÃO/PÉ,10,2.67
P19-ABUSO DE DROGAS,9,2.41
A89-EFEITO DA PRÓTESE,8,2.14
L75-FRATURA: FÊMUR,8,2.14
L81-TRAUMATISMOS DO APARELHO MÚSCULO-ESQUELÉTICO NE,8,2.14
K86-HIPERTENSÃO SEM COMPLICAÇÕES,7,1.87
L12-SINAIS/SINTOMAS DAS MÃOS E DEDOS,6,1.6
L17-SINAIS/SINTOMAS DO PÉ/DEDOS PÉ,6,1.6
L08-SINAIS/SINTOMAS DOS OMBROS,6,1.6
L13-SINAIS/SINTOMAS DO QUADRIL,6,1.6
L16-SINAIS/SINTOMAS DO TORNOZELO,5,1.34
R96-ASMA,5,1.34
P06-PERTURBAÇÃO DO SONO,4,1.07
L99-OUTRA DOENÇA DO APARELHO MÚSCULO-ESQUELÉTICO,4,1.07
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,4,1.07
L72-FRATURA: RÁDIO/CÚBITO,4,1.07
L92-SÍNDROME DO OMBRO DOLOROSO,3,0.8
 -31-EXAME MÉDICO/AVALIAÇÃO DE SAÚDE - PARCIAL,3,0.8
P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE,3,0.8
Z25-ATO OU ACONTECIMENTO VIOLENTO,3,0.8
S10-FURÚNCULO/CARBÚNCULO,2,0.53
A80-LESÃO TRAUMÁTICA/ACIDENTE NE,2,0.53
D87-ALTERAÇÕES FUNCIONAIS ESTÔMAGO,2,0.53
L87-BURSITE/TENDINITE/SINOVITE NE,2,0.53
L04-SINAIS/SINTOMAS DO TÓRAX,2,0.53
S74-DERMATOFITOSE,2,0.53
A01-DOR GENERALIZADA /MÚLTIPLA,2,0.53
D03-AZIA/ QUEIMAÇÃO,2,0.53
L02-SINAIS/SINTOMAS DA REGIÃO DORSAL,2,0.53
L86-SÍNDROME VERTEBRAL COM IRRADIAÇÃO DOR,2,0.53
N17-VERTIGENS/TONTURAS,2,0.53
S72-ESCABIOSE/OUTRAS ACARÍASES,2,0.53
R05-TOSSE,2,0.53
S93-CISTO SEBÁCEO,2,0.53
F01-DOR NO OLHO,1,0.27
L29-OUTROS SINAIS/SINTOMAS DO APARELHO MÚSCULO-ESQUELÉTICO,1,0.27
L78-ENTORSES E DISTENSÕES DO JOELHO,1,0.27
 -60-RESULTADOS DE ANÁLISES/PROCEDIMENTOS,1,0.27
R99-OUTRAS DOENÇAS RESPIRATÓRIAS,1,0.27
Y07-IMPOTÊNCIA NE,1,0.27
A11-DORES TORÁCICAS NE,1,0.27
"D02-DORES ABDOMINAIS, EPIGÁSTRICAS",1,0.27
L89-OSTEOARTROSE DO QUADRIL,1,0.27
L11-SINAIS/SINTOMAS DOS PUNHOS,1,0.27
A10-SANGRAMENTO/HEMORRAGIA NE,1,0.27
T82-OBESIDADE,1,0.27
B90-INFECÇÃO POR VIH/ HIV/SIDA/ AIDS,1,0.27
S02-PRURIDO,1,0.27
S16-TRAUMATISMO/CONTUSÃO,1,0.27
R79-BRONQUITE CRÔNICA,1,0.27
K87-HIPERTENSÃO COM COMPLICAÇÕES,1,0.27
R74-INFECÇÃO AGUDA DO APARELHO RESPIRATÓRIO SUPERIOR (IVAS),1,0.27
S21-SINAIS/SINTOMAS DA TEXTURA DA PELE,1,0.27
K99-OUTRAS DOENÇAS DO APARELHO CIRCULATÓRIO,1,0.27
P73-PSICOSE AFETIVA,1,0.27
N93-SÍNDROME DO TÚNEL DO CARPO/ SÍNDROME DO CANAL CÁRPICO,1,0.27
D89-HÉRNIA INGUINAL,1,0.27
U01-DISÚRIA/MICÇÃO DOLOROSA,1,0.27
A29-OUTROS SINAIS/SINTOMAS GERAIS,1,0.27
N88-EPILEPSIA,1,0.27
N01-CEFALÉIA,1,0.27
"D73-GASTROENTERITE, PRESUMÍVEL INFECÇÃO",1,0.27
L79-ENTORSES E DISTENSÕES DAS ARTICULAÇÕES NE,1,0.27
K94-FLEBITE/TROMBOFLEBITE,1,0.27
"D91-HÉRNIA ABDOMINAL, OUTRAS",1,0.27
D12-OBSTIPAÇÃO,1,0.27
S06-ERUPÇÃO CUTÂNEA LOCALIZADA,1,0.27
"S29-SINAIS/SINTOMAS DA PELE, OUTROS",1,0.27
Y70-SÍFILIS MASCULINA,1,0.27
