CIAP_Plot,Especialidade,Quantidade_Encaminhamentos
Outros CIAPs (Agrupados),Cirurgia Geral,119
D89-HÉRNIA INGUINAL,Cirurgia Geral,75
"D91-HÉRNIA ABDOMINAL, OUTRAS",Cirurgia Geral,32
K86-HIPERTENSÃO SEM COMPLICAÇÕES,Cirurgia Geral,5
P06-PERTURBAÇÃO DO SONO,Cirurgia Geral,3
A82-EFEITO SECUNDÁRIO DE LESÃO TRAUMÁTICA,Cirurgia Geral,2
L14-SINAIS/SINTOMAS DA COXA/PERNA,Cirurgia Geral,2
L15-SINAIS/SINTOMAS DO JOELHO,Cirurgia Geral,2
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,Cirurgia Geral,2
T89-DIABETES INSULINO-DEPENDENTE,Cirurgia Geral,2
N01-CEFALÉIA,Cirurgia Geral,1
Outros CIAPs (Agrupados),Oftalmologia,266
F05-OUTRAS PERTURBAÇÕES VISUAIS,Oftalmologia,65
F99-OUTRA DOENÇAS OCULARES/ANEXOS,Oftalmologia,42
K86-HIPERTENSÃO SEM COMPLICAÇÕES,Oftalmologia,31
F91-ERRO DE REFRAÇÃO,Oftalmologia,25
T90-DIABETES NÃO INSULINO-DEPENDENTE,Oftalmologia,24
N01-CEFALÉIA,Oftalmologia,23
T89-DIABETES INSULINO-DEPENDENTE,Oftalmologia,20
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,Oftalmologia,12
P06-PERTURBAÇÃO DO SONO,Oftalmologia,11
D89-HÉRNIA INGUINAL,Oftalmologia,4
A82-EFEITO SECUNDÁRIO DE LESÃO TRAUMÁTICA,Oftalmologia,2
L14-SINAIS/SINTOMAS DA COXA/PERNA,Oftalmologia,2
L15-SINAIS/SINTOMAS DO JOELHO,Oftalmologia,2
"D91-HÉRNIA ABDOMINAL, OUTRAS",Oftalmologia,1
Outros CIAPs (Agrupados),Ortopedia,207
L76-OUTRAS FRATURAS,Ortopedia,26
L14-SINAIS/SINTOMAS DA COXA/PERNA,Ortopedia,21
A82-EFEITO SECUNDÁRIO DE LESÃO TRAUMÁTICA,Ortopedia,15
L15-SINAIS/SINTOMAS DO JOELHO,Ortopedia,14
K86-HIPERTENSÃO SEM COMPLICAÇÕES,Ortopedia,7
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,Ortopedia,4
P06-PERTURBAÇÃO DO SONO,Ortopedia,4
D89-HÉRNIA INGUINAL,Ortopedia,1
"D91-HÉRNIA ABDOMINAL, OUTRAS",Ortopedia,1
N01-CEFALÉIA,Ortopedia,1
