Especialidade,Quantidade_Consultas,Tempo_Minimo,Tempo_Medio,Tempo_Mediano,Tempo_Maximo,Desvio_Padrao
Cardiologia,51,25.0,32.2,30.0,40.0,4.2
Cirurgia Geral,100,23.0,30.9,30.0,40.0,4.2
Dermatologia,71,23.0,31.2,30.0,40.0,4.2
Infectologia,64,25.0,31.6,30.0,40.0,4.2
Neurologia,44,24.0,32.0,30.0,40.0,4.5
Oftalmologia,195,23.0,31.6,30.0,42.0,4.3
Ortopedia,128,23.0,31.8,30.0,42.0,4.3
Otorrinolaringologia,63,25.0,31.3,30.0,42.0,3.7
Psiquiatria,72,23.0,32.5,30.0,40.0,5.0
Urologia,80,23.0,31.4,30.0,40.0,3.8
